0.901 (+/-0.002) for {'max_depth': 75, 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 498} 
0.901 (+/-0.002) for {'max_depth': 61, 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 148} 
0.901 (+/-0.002) for {'max_depth': 77, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 246} 
0.902 (+/-0.001) for {'max_depth': 83, 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 390} 
0.903 (+/-0.001) for {'max_depth': 52, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 470} 
0.901 (+/-0.002) for {'max_depth': 66, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 465} 
0.901 (+/-0.002) for {'max_depth': 78, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 299} 
0.901 (+/-0.003) for {'max_depth': 50, 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 119} 
0.902 (+/-0.001) for {'max_depth': 96, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 341} 
0.900 (+/-0.003) for {'max_depth': 87, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 422} 
0.902 (+/-0.001) for {'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100} 
0.902 (+/-0.001) for {'max_depth': 51, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 104} 
0.903 (+/-0.002) for {'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500} 
0.903 (+/-0.000) for {'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 500} 
0.900 (+/-0.002) for {'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 5, 'n_estimators': 102} 
0.903 (+/-0.002) for {'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500} 
0.900 (+/-0.001) for {'max_depth': 51, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 106} 
0.902 (+/-0.001) for {'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 115} 
0.903 (+/-0.001) for {'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500} 
0.902 (+/-0.002) for {'max_depth': 50, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 500} 
0.900 (+/-0.001) for {'max_depth': 51, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 495} 
0.901 (+/-0.002) for {'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 5, 'n_estimators': 494} 
0.903 (+/-0.002) for {'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500} 
0.902 (+/-0.002) for {'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 109} 
0.900 (+/-0.001) for {'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 101} 
0.900 (+/-0.001) for {'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 5, 'n_estimators': 485} 
0.903 (+/-0.002) for {'max_depth': 50, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 107} 
0.901 (+/-0.003) for {'max_depth': 99, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 108} 
