configurations,cpa,abstraction_block,cex,refiner,recursion,bdd_value,abstract_computation,k,invariant_generation
valueconfig1,value,notApply,no,notset,notApply,notset,notApply,notApply,notApply
valueconfig2,valueBdd,notApply,no,notset,notApply,bool,notApply,notApply,notApply
valueconfig3,valueBdd,notApply,no,notset,notApply,intAdd,notApply,notApply,notApply
valueconfig4,value,notApply,no,valueRefiner,notApply,notset,notApply,notApply,notApply
valueconfig5,valueBdd,notApply,no,valueRefiner,notApply,bool,notApply,notApply,notApply
valueconfig6,valueBdd,notApply,no,valueRefiner,notApply,intAdd,notApply,notApply,notApply
valueconfig7,valuePredicate,lbe,no,valueDelegateRefiner,notApply,notset,notApply,notApply,notApply
valueconfig8,valuePredicate,lbe,no,valueDelegateRefiner,notApply,bool,notApply,notApply,notApply
valueconfig9,valuePredicate,lbe,no,valueDelegateRefiner,notApply,intAdd,notApply,notApply,notApply
valueconfig10,value,notApply,yes,notset,notApply,notset,notApply,notApply,notApply
valueconfig11,valueBdd,notApply,yes,notset,notApply,bool,notApply,notApply,notApply
valueconfig12,valueBdd,notApply,yes,notset,notApply,intAdd,notApply,notApply,notApply
valueconfig13,value,notApply,yes,valueRefiner,notApply,notset,notApply,notApply,notApply
valueconfig14,valueBdd,notApply,yes,valueRefiner,notApply,bool,notApply,notApply,notApply
valueconfig15,valueBdd,notApply,yes,valueRefiner,notApply,intAdd,notApply,notApply,notApply
valueconfig16,valuePredicate,lbe,yes,valueDelegateRefiner,notApply,notset,notApply,notApply,notApply
valueconfig17,valuePredicate,lbe,yes,valueDelegateRefiner,notApply,bool,notApply,notApply,notApply
valueconfig18,valuePredicate,lbe,yes,valueDelegateRefiner,notApply,intAdd,notApply,notApply,notApply
valueconfig19,value,notApply,no,BamRefiner,notset,notset,notApply,notApply,notApply
valueconfig20,valueBdd,notApply,no,BamRefiner,notset,bool,notApply,notApply,notApply
valueconfig21,valueBdd,notApply,no,BamRefiner,notset,intAdd,notApply,notApply,notApply
valueconfig22,value,notApply,yes,BamRefiner,notset,notset,notApply,notApply,notApply
valueconfig23,valueBdd,notApply,yes,BamRefiner,notset,bool,notApply,notApply,notApply
valueconfig24,valueBdd,notApply,yes,BamRefiner,notset,intAdd,notApply,notApply,notApply
valueconfig25,value,notApply,no,BamRefiner,yes,notset,notApply,notApply,notApply
valueconfig26,valueBdd,notApply,no,BamRefiner,yes,bool,notApply,notApply,notApply
valueconfig27,valueBdd,notApply,no,BamRefiner,yes,intAdd,notApply,notApply,notApply
valueconfig28,value,notApply,yes,BamRefiner,yes,notset,notApply,notApply,notApply
valueconfig29,valueBdd,notApply,yes,BamRefiner,yes,bool,notApply,notApply,notApply
valueconfig30,valueBdd,notApply,yes,BamRefiner,yes,intAdd,notApply,notApply,notApply
